urls,title,brand,price,discount,category,category2,category3,category4,category5,category6,category7,persuasion
https://www.gamma.nl/assortiment/auto-fiets/auto-onderhoud/ruitenwissers/c/auto-en-fiets_auto-onderhoud_ruitenwissers?linkid=20170767,,,,,,,,,,,,
https://www.gamma.nl/assortiment/gamma-ruitensproeiervloeistof-zomer-5-liter/p/B890270?linkid=20170768,,,,,,,,,,,,
https://www.gamma.nl/zoeken/?text=339882+564095,,,,,,,,,,,,
https://www.gamma.nl/zoeken/?text=592429+592430+592431+592432,,,,,,,,,,,,
https://www.gamma.nl/assortiment/tafel-barbecue-39x19-cm-grijs-metaal/p/B516200?linkid=20170772,,,,,,,,,,,,
https://www.gamma.nl/assortiment/auto-fiets/fietsen/transportfietsen/c/auto-en-fiets_fietsen_transportfietsen?sg=a,,,,,,,,,,,,
https://www.gamma.nl/assortiment/auto-fiets/fietsen/omafietsen/c/auto-en-fiets_fietsen_omafietsen?sg=a,,,,,,,,,,,,
https://www.gamma.nl/assortiment/elektra/schakelmateriaal/c/elektra_schakelmateriaal?linkid=20170779,,,,,,,,,,,,
https://www.gamma.nl/assortiment/hobby-vrije-tijd/multimedia/telefoons/c/hobby-en-vrije-tijd_multimedia_telefoons?sg=b,,,,,,,,,,,,
https://www.gamma.nl/assortiment/elektra/verlengsnoeren-stekkerdozen/c/elektra_verlengsnoeren-en-stekkerdozen?linkid=20170781,,,,,,,,,,,,
https://www.gamma.nl/assortiment/duracell-plus-power-aaa-8-stuks/p/B565071?linkid=20170782,,,,,,,,,,,,
https://www.gamma.nl/assortiment/behang/c/behang?linkid=20170783,,,,,,,,,,,,
https://www.gamma.nl/zoeken/?text=303447+421847+392787+428576+428584+428585,,,,,,,,,,,,
https://www.gamma.nl/assortiment/verf/c/verf?linkid=20170788,,,,,,,,,,,,
https://www.gamma.nl/assortiment/histor-clean-muurverf-wit-10-liter/p/B517318?linkid=20170789,,,,,,,,,,,,
https://www.gamma.nl/zoeken?text=517332+517333+517334,,,,,,,,,,,,
https://www.gamma.nl/maatwerk-deuren?linkid=20170791,,,,,,,,,,,,
https://www.gamma.nl/zoeken/?text=laminaat+Confort,,,,,,,,,,,,
https://www.gamma.nl/assortiment/vloeren/pvc-vloeren/c/vloeren_pvc-vloeren?linkid=20170793,,,,,,,,,,,,
https://www.gamma.nl/assortiment/h-h-cellenbetonblok-60x40x7-cm/p/B335103?linkid=20170794,,,,,,,,,,,,
https://www.gamma.nl/assortiment/tiger-boston-toiletborstelgarnituur-rvs/p/B130187?linkid=20170795,,,,,,,,,,,,
https://www.gamma.nl/zoeken?text=456054+390193+527536+457611,,,,,,,,,,,,
https://www.gamma.nl/assortiment/plieger-inbouwreservoir-slim-up-100/p/B503511?linkid=20170800,,,,,,,,,,,,
https://www.gamma.nl/zoeken?text=509182+509183+200554+127002+516648,,,,,,,,,,,,
https://www.gamma.nl/assortiment/isover-vario-klimaatfolie-2x15-meter/p/B133551?linkid=20170806,,,,,,,,,,,,
https://www.gamma.nl/zoeken?text=glaswol,,,,,,,,,,,,
https://www.gamma.nl/assortiment/bouwmaterialen/installatiemateriaal/c/bouwmaterialen_installatiemateriaal?sg=a,,,,,,,,,,,,
https://www.gamma.nl/assortiment/bosch-professional-accuboormachine-gsr-18-volt-lithium-ion-plus/p/B556689?linkid=20170809,,,,,,,,,,,,
https://www.gamma.nl/assortiment/bosch-accuboormachine-psr-1800-li-toolbox-2-li-ion-accu-s/p/B509073?linkid=20170810,,,,,,,,,,,,
https://www.gamma.nl/assortiment/bosch-professional-accuboormachine-gsr-12-volt-lithium-ion/p/B556685?linkid=20170811,,,,,,,,,,,,
https://www.gamma.nl/assortiment/gereedschap/elektrisch-gereedschap/c/gereedschap_elektrisch-gereedschap?linkid=20170812,,,,,,,,,,,,
