urls,title,brand,price,discount,category,category2,category3,category4,category5,category6,category7,persuasion
https://www.plus.nl/aanbiedingen/2526-63,Hertog IJs Alle bakken  200 ml of 900 ml,Hertog,,,Room- en sorbetijs,,,,,,,50%KORTING
https://www.plus.nl/aanbiedingen/2526-22,PLUS DonutsGesuikerde of gedecoreerde donut per stuk of mini gesuikerde donuts doosje 6 stuks,PLUS,,,Luxe en grote koeken,,,,,,,50%KORTING
https://www.plus.nl/aanbiedingen/2526-49,"PLUS KoekDeugnietjes, hazelinos met crmevulling, speculaasmolens of Limburgse knapkoeken",PLUS,,,"Alledaagse en fijne koeken, Speculaas",,,,,,,50%KORTING
https://www.plus.nl/aanbiedingen/2526-61,Ranja LimonadesiroopAlle flessen  500 ml,Ranja,,,Siroop,,,,,,,50%KORTING
https://www.plus.nl/aanbiedingen/2526-41,PLUS KoffiebonenAlle varianten  500 gram,PLUS,,,Koffiebonen,,,,,,,50%KORTING
https://www.plus.nl/aanbiedingen/2526-32,"PLUS SaladeAardappel, huzaren of rundvlees",PLUS,1.79,28%,Overige salades,,,,,,,
https://www.plus.nl/aanbiedingen/2526-73,PLUS Speklappen,PLUS,3.29,26%,Varkensvlees,,,,,,,
https://www.plus.nl/aanbiedingen/2526-104,PLUS Paprika zoetpunt,PLUS,1.19,33%,"Tomaten, paprika, komkommer, courgette, aubergine",,,,,,,
