urls,title,brand,price,price_old,discount,category,category2,category3,category4,category5,category6,category7,persuasion
https://www.paradigit.nl/asus-vivobook-a540sa-dm538t/80043799/product,ASUS VivoBook A540SA-DM538T,ASUS,349.00,,13%,Laptops , Laptops,,,,,,
https://www.paradigit.nl/acer-aspire-3-a315-31-p26u/80047910/product,Acer Aspire 3 A315-31-P26U,Acer,499.00,,,Laptops,Laptops,,,,,,
https://www.paradigit.nl/microsoft-office-365-home-nederlands/80044124/product,Microsoft Office 365 Home - Nederlands,Microsoft,89.99,,,Software,Microsoft Office,,,,,,
https://www.paradigit.nl/hp-pavilion-15-aw022nd/20817112/product,HP Pavilion 15-aw022nd,HP,649.00,,13%,Laptops,Laptops,,,,,,
https://www.paradigit.nl/laptops/laptop-sleeves/#price/brand/F4B51820/feature/sorting/Price/page/1,Laptop sleeves,"HP, Case Logic",,,, Laptops , Laptop sleeves,,,,,,
https://www.paradigit.nl/surface/surface-laptop/,Surface Laptop,Microsoft,,,,,,,,,,,
https://www.paradigit.nl/surface/surface-laptop/,Surface Laptop,Microsoft,,,,,,,,,,,
https://www.paradigit.nl/surface/surface-pro/,Surface Pro,Microsoft,,,,,,,,,,,
