urls,title,brand,price,price_old,discount,category,category2,category3,category4,category5,category6,category7,persuasion
https://www.kruidvat.nl/a/2082/solait-gel-spray-bronze-voor-4.99,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2083/solait-aftersun-voor-3.49,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2081/solait-transparant-spray-voor-5.99,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2084/kruidvat-maaltijdshake-2-voor-10.00,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2658/kruidvat-anti-mug-30-korting,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2085/kruidvat-bruistabletten,,,,,,,,,,,,,
https://www.kruidvat.nl/,,,,,,,,,,,,,
https://www.kruidvat.nl/kruidvat-magnesium-tabletten/p/1290591,Kruidvat Magnesium Tabletten90st,,3.29,,,Vitaminen & Supplementen,,,,,,,
https://www.kruidvat.nl/xxxxl-keukenrol/p/3983330,XXXXL Keukenrol,,0.00,,,Toilet & Keuken,Keukenpapier,,,,,,
https://www.kruidvat.nl/a/2087/kruidvat-koffiebonen-2-voor-10.00,,,,,,,,,,,,,
https://www.kruidvat.nl/kruidvat-zacht-sterk-toiletpapier/p/577178,Kruidvat Zacht & Sterk Toiletpapier8st,,1.99,,,Toiletpapier & Vochtige doekjes,,,,,,,
https://www.kruidvat.nl/kruidvat-cinnarizine-25mg-tabletten/p/2444009,Kruidvat Cinnarizine 25mg Tabletten20st,,2.95,,,Geneesmiddelen,Reisziekte,,,,,,
https://www.kruidvat.nl/kruidvat-ontsmettingsmiddel/p/3246475,Kruidvat Ontsmettingsmiddel30ml,,3.49,,,Wondverzorging,Wondontsmetting,,,,,,
https://www.kruidvat.nl/,,,,,,,,,,,,,
https://www.kruidvat.nl/,,,,,,,,,,,,,
https://www.kruidvat.nl/kruidvat-oordopjes/p/2526413,Kruidvat Oordopjes3st,,2.35,,,Geneesmiddelen,Oor & Mond,,,,,,
https://www.kruidvat.nl/a/2628/gratis-sante-tijdschrift,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2633/elmex-of-meridol-2-2-gratis,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2632/sensodyne-mondverzorging-3-voor-7.99,,,,,,,,,,,,,
https://www.kruidvat.nl/search,,,,,,,,,,,,,
https://www.kruidvat.nl/search,,,,,,,,,,,,,
-,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2627/colgate-1-1-gratis,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2625/prodent-white-now-tandpasta-2-voor-4.00,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2624/prodent-tandpasta-in-tube-3-voor-3.00,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2623/listerine-mondwater-30-korting,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2631/sensodyne-tandpasta-proglasur-2-voor-5.99,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2636/centrum-multivitaminen-2e-halve-prijs,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2639/lucovitaal-voedingssupplementen-2e-voor-1.00,,,,,,,,,,,,,
https://www.kruidvat.nl/,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2638/bional-voedingssupplementen-50-korting,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2641/supradyn-of-supra-d-30-korting,,,,,,,,,,,,,
